용도별,차종별,사용연료별,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
전체,승용차,휘발유,116867557,15251671,6808340,5763724,8621468,3121261,3329225,2912692,933502,29605058,3563630,3947391,5398890,4102110,4794664,6800914,8990178,2922840
전체,승용차,경유,86830023,9922186,4692249,4108136,7558018,2423047,2320477,2005202,683026,21625490,2880620,3041369,4146530,3488052,4294207,4732506,6170049,2738857
전체,승용차,LPG,30751266,4067947,2320609,1767321,2645804,1294888,1016722,538611,171445,5676893,877064,1040787,1240655,1363881,1589740,1707179,1969941,1461780
전체,승용차,기타연료,8246608,1363397,450594,432720,584504,228486,201319,146422,89154,2136704,241932,235605,308074,260291,291003,373488,507699,395216
전체,승합차,휘발유,37818,7053,2233,1317,2851,928,1245,474,195,12139,1019,889,1859,892,1056,1667,1432,568
전체,승합차,경유,14122146,1576846,676280,436159,812926,271337,288099,235627,79666,4021072,612763,606402,927638,598436,767011,828671,991671,391541
전체,승합차,LPG,1003660,189346,82795,40722,59216,24084,23037,17464,4303,238119,28624,24856,31335,30924,44889,57111,77119,29716
전체,승합차,기타연료,2740748,592766,347291,160796,227796,103543,120704,114593,11276,641082,32143,48659,36283,59226,69357,60456,107386,7391
전체,화물차,휘발유,113668,16037,4944,4181,5549,1417,2098,1345,539,35703,7525,5975,6824,3438,3148,6396,5437,3113
전체,화물차,경유,61498762,6047503,3812140,3032051,3496730,1755778,1685275,1208818,296980,15790986,2229893,2600777,3448258,2877817,3330696,4416515,4462769,1005775
전체,화물차,LPG,1727224,454832,74591,71424,124370,40273,26239,20528,4128,534336,43832,32452,40788,35490,43163,67178,81867,31734
전체,화물차,기타연료,1634278,440542,22523,53870,87415,6794,39486,2606,0,44357,14803,24284,9550,50647,70324,589247,117717,60113
전체,특수차,휘발유,270,101,5,0,27,0,7,0,0,26,0,0,8,19,17,2,52,5
전체,특수차,경유,3951437,179291,930021,95842,290715,105250,85560,169650,9079,523054,85287,218183,191346,126269,307540,293483,320407,20459
전체,특수차,LPG,3386,2005,57,150,26,54,9,0,1,286,27,38,100,160,102,152,201,18
전체,특수차,기타연료,25073,3165,0,0,0,0,0,10741,59,0,0,0,10141,0,0,0,967,0
비사업형,승용차,휘발유,110659186,14769546,6503344,5715626,6374479,3084441,3296585,2884410,932285,29252888,3526572,3902872,5344662,4021779,4020881,6772399,8711971,1544446
비사업형,승용차,경유,80019451,9560501,4350632,4051137,4954844,2367614,2283870,1983183,680634,21424373,2845596,2991578,4086303,3392147,3343646,4705615,5829558,1168221
비사업형,승용차,LPG,18427852,1757408,989001,1100851,861745,920656,658165,359414,163572,4118398,598718,712283,990270,1024354,1065146,1410545,1433434,263892
비사업형,승용차,기타연료,7542424,1118449,430082,423420,403116,225141,200380,145073,88955,2122900,238645,233154,306917,254723,279643,372066,490443,209317
비사업형,승합차,휘발유,36558,6462,2195,1242,2839,928,1245,474,195,11721,1001,874,1828,841,1056,1667,1432,559
비사업형,승합차,경유,8723617,1121929,450692,321754,535713,209093,236272,154216,54248,2408829,341342,351870,507420,382527,411398,536785,579138,120390
비사업형,승합차,LPG,984745,184661,81226,40675,56626,23999,22899,17362,4303,237394,28536,24778,31262,30716,38136,57085,76449,28640
비사업형,승합차,기타연료,63082,21281,3399,3458,5557,2425,2942,582,1735,6832,852,136,538,2336,233,4945,5829,0
비사업형,화물차,휘발유,113319,15953,4944,4181,5549,1417,2098,1345,539,35437,7525,5975,6824,3438,3148,6396,5437,3113
비사업형,화물차,경유,43694501,3862306,2357929,2133372,2562571,1125144,1073549,772321,206009,10643849,1835712,1892156,2596964,2194594,2589926,3500195,3488581,859323
비사업형,화물차,LPG,1171794,215860,67798,59476,81235,32163,25021,20050,3911,305536,42484,30738,37979,34123,41598,63112,79070,31639
비사업형,화물차,기타연료,630570,196112,22523,53870,5532,6794,39486,2606,0,20062,14803,24284,9550,42012,57200,47101,85102,3533
비사업형,특수차,휘발유,270,101,5,0,27,0,7,0,0,26,0,0,8,19,17,2,52,5
비사업형,특수차,경유,396147,32911,17986,14453,33899,11100,9817,10054,2712,83058,17226,17258,27414,20441,23595,36825,30626,6772
비사업형,특수차,LPG,1408,55,57,150,26,54,9,0,1,286,27,38,100,160,102,125,201,18
비사업형,특수차,기타연료,14932,3165,0,0,0,0,0,10741,59,0,0,0,0,0,0,0,967,0
사업형,승용차,휘발유,6208371,482125,304996,48098,2246989,36820,32640,28282,1216,352170,37059,44519,54228,80331,773783,28515,278207,1378394
사업형,승용차,경유,6810572,361685,341617,56999,2603174,55434,36607,22019,2392,201118,35024,49791,60227,95905,950562,26891,340491,1570636
사업형,승용차,LPG,12323414,2310539,1331609,666470,1784059,374232,358556,179196,7873,1558495,278345,328504,250385,339527,524594,296633,536507,1197888
사업형,승용차,기타연료,704183,244948,20512,9301,181388,3345,939,1349,199,13804,3287,2450,1157,5568,11359,1422,17256,185899
사업형,승합차,휘발유,1260,592,37,76,12,0,0,0,0,418,18,15,31,51,0,0,0,9
사업형,승합차,경유,5398529,454917,225588,114405,277214,62245,51827,81411,25418,1612243,271421,254532,420218,215909,355613,291887,412532,271151
사업형,승합차,LPG,18915,4685,1569,47,2590,85,138,102,0,725,89,78,73,208,6753,26,670,1076
사업형,승합차,기타연료,2677667,571485,343891,157338,222239,101118,117762,114011,9541,634250,31291,48523,35745,56889,69124,55511,101557,7391
사업형,화물차,휘발유,349,84,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0
사업형,화물차,경유,17804261,2185197,1454211,898679,934159,630635,611726,436497,90971,5147137,394181,708621,851294,683223,740770,916320,974188,146453
사업형,화물차,LPG,555431,238972,6793,11948,43135,8110,1218,477,217,228800,1348,1714,2809,1366,1565,4065,2797,95
사업형,화물차,기타연료,1003708,244430,0,0,81883,0,0,0,0,24295,0,0,0,8635,13124,542146,32615,56580
사업형,특수차,휘발유,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
사업형,특수차,경유,3555290,146381,912035,81389,256816,94150,75743,159597,6367,439996,68060,200925,163932,105828,283945,256658,289781,13687
사업형,특수차,LPG,1977,1951,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
사업형,특수차,기타연료,10141,0,0,0,0,0,0,0,0,0,0,0,10141,0,0,0,0,0
